year,M,W,sum
2000,195953,184523,380476
2001,190467,179780,370247
2002,183044,172482,355526
2003,181525,171260,352785
2004,184354,173530,357884
2005,188265,177830,366095
2006,193474,182561,376035
2007,200289,189424,389713
2008,213944,202493,416437
2009,215815,203522,419337
2010,215324,199706,415030
2011,200795,189274,390069
2012,199550,188308,387858
2013,190631,180331,370962
2014,193798,182703,376501
2015,190244,180139,370383
2016,196686,186718,383404
2017,206990,196093,403083
2018,200468,188987,389455
2019,193327,182865,376192
2020,182932,173608,356540