imię,płeć,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ADAM,M,,,,,,,,,,,5590,5656,5200,5029,,,,,,4899,,0,0,0,0,0,0,0,0,0,0,5590,11246,16446,21475,21475,21475,21475,21475,21475,26374,26374
ALEKSANDER,M,,,,,,,,,,,,,,,5306,5800,6451,6968,7324,7432,7165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5306,11106,17557,24525,31849,39281,46446
ANTONI,M,,,,,,,,,,,,,5890,6704,7761,8332,9518,9989,9329,8550,8368,0,0,0,0,0,0,0,0,0,0,0,0,5890,12594,20355,28687,38205,48194,57523,66073,74441
BARTOSZ,M,,4562,4599,4605,5141,5536,6970,7660,7507,7204,6670,6014,5352,,,,,,,,,0,4562,9161,13766,18907,24443,31413,39073,46580,53784,60454,66468,71820,71820,71820,71820,71820,71820,71820,71820,71820
DAWID,M,7063,7203,7714,6312,5887,5498,5340,5633,5659,5303,,,,,,,,,,,,7063,14266,21980,28292,34179,39677,45017,50650,56309,61612,61612,61612,61612,61612,61612,61612,61612,61612,61612,61612,61612
FILIP,M,,,,,,,4687,5595,7363,8582,8663,8456,8815,8101,7688,7235,7046,7150,6407,6169,5474,0,0,0,0,0,0,4687,10282,17645,26227,34890,43346,52161,60262,67950,75185,82231,89381,95788,101957,107431
FRANCISZEK,M,,,,,,,,,,,,,,,5496,5765,6699,7065,7094,6805,7124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5496,11261,17960,25025,32119,38924,46048
JAKUB,M,14497,,18018,16429,16431,15802,15756,16118,15843,14736,13764,12661,11989,10870,10229,9204,9307,9316,8908,7966,7162,14497,14497,32515,48944,65375,81177,96933,113051,128894,143630,157394,170055,182044,192914,203143,212347,221654,230970,239878,247844,255006
JAN,M,,,,,,,,,,,,5491,6632,7043,7398,7607,7865,8712,8457,8032,7658,0,0,0,0,0,0,0,0,0,0,0,5491,12123,19166,26564,34171,42036,50748,59205,67237,74895
KACPER,M,8898,8569,10048,11855,12802,12513,12514,12196,11656,10346,8862,8003,9219,8654,7922,6867,6282,6049,5437,,,8898,17467,27515,39370,52172,64685,77199,89395,101051,111397,120259,128262,137481,146135,154057,160924,167206,173255,178692,178692,178692
KAMIL,M,6842,6115,5078,4839,5252,5270,,,,,,,,,,,,,,,,6842,12957,18035,22874,28126,33396,33396,33396,33396,33396,33396,33396,33396,33396,33396,33396,33396,33396,33396,33396,33396
LEON,M,,,,,,,,,,,,,,,,,,,,,5018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5018
MACIEJ,M,,,,,4758,4811,4624,,,,,,,,,,,,,,,0,0,0,0,4758,9569,14193,14193,14193,14193,14193,14193,14193,14193,14193,14193,14193,14193,14193,14193,14193
MATEUSZ,M,11454,9899,10177,10313,10549,9939,8970,8660,9050,8472,7376,6482,5512,4930,,,,,,,,11454,21353,31530,41843,52392,62331,71301,79961,89011,97483,104859,111341,116853,121783,121783,121783,121783,121783,121783,121783,121783
MICHAŁ,M,8498,8529,8362,7526,6930,6691,6589,6846,7226,7288,7620,6521,6092,5566,5289,,,,,,,8498,17027,25389,32915,39845,46536,53125,59971,67197,74485,82105,88626,94718,100284,105573,105573,105573,105573,105573,105573,105573
MIKOŁAJ,M,,,,,,,,,,,,,,,,5655,6530,6576,6008,5786,5368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5655,12185,18761,24769,30555,35923
PATRYK,M,7743,6800,5734,5327,4845,,,,,,,,,,,,,,,,,7743,14543,20277,25604,30449,30449,30449,30449,30449,30449,30449,30449,30449,30449,30449,30449,30449,30449,30449,30449,30449
PAWEŁ,M,5109,4487,,,,,,,,,,,,,,,,,,,,5109,9596,9596,9596,9596,9596,9596,9596,9596,9596,9596,9596,9596,9596,9596,9596,9596,9596,9596,9596,9596
PIOTR,M,5608,5444,4828,4507,,4656,4921,5227,5372,5447,,,,,,,,,,,,5608,11052,15880,20387,20387,25043,29964,35191,40563,46010,46010,46010,46010,46010,46010,46010,46010,46010,46010,46010,46010
STANISŁAW,M,,,,,,,,,,,,,,,,,,,,,4963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4963
SZYMON,M,5486,4971,5285,5483,5705,6166,7356,7959,8414,8986,10395,9345,8139,7140,6542,7777,8461,8240,8234,7177,6083,5486,10457,15742,21225,26930,33096,40452,48411,56825,65811,76206,85551,93690,100830,107372,115149,123610,131850,140084,147261,153344
WIKTOR,M,,,,,,,,4740,5507,5525,5316,,,,,,,,,,,0,0,0,0,0,0,0,4740,10247,15772,21088,21088,21088,21088,21088,21088,21088,21088,21088,21088,21088
WOJCIECH,M,,,,,,,,,,,5511,5101,,5153,5262,5566,6000,6346,5862,5468,,0,0,0,0,0,0,0,0,0,0,5511,10612,10612,15765,21027,26593,32593,38939,44801,50269,50269